,weta_band,scott_corr,silverman_corr,ss_corr_avg,scott_incorr,silverman_incorr,ss_incorr_avg
0,"(0, 0.4)",0.0450577824860449,0.04772627743401039,0.04639202996002764,0.109691194218923,0.11618752806979887,0.11293936114436093
1,"(0.4, 0.6)",0.09574900050665568,0.10141962409324451,0.0985843122999501,0.14374163010843236,0.15225456156207132,0.14799809583525184
2,"(0.6, 0.8)",0.0666319897204384,0.07057819208840775,0.06860509090442307,0.10573403680277839,0.1119960125918354,0.1088650246973069
3,"(0.8, 1.0)",0.1287129611117562,0.1363358370615608,0.1325243990866585,0.1605780038663103,0.1700880500432242,0.16533302695476726
4,"(1.0, 1.2)",0.11030262681674448,0.1168351720546058,0.11356889943567514,0.1430180917132009,0.15148817244392795,0.14725313207856444
5,"(1.2, 1.4)",0.15987907153147354,0.1693477242508852,0.16461339789117937,0.21568955164936832,0.2284635153721401,0.2220765335107542
6,"(1.4, 1.6)",0.13795109856374957,0.14612109249759808,0.1420360955306738,0.21004341486884692,0.22248299268438923,0.21626320377661806
7,"(1.6, 1.8)",0.21781193744344415,0.23071159700512853,0.22426176722428634,0.33108230833990226,0.35069027434309846,0.3408862913415004
8,"(1.8, 2.0)",0.19071195069376712,0.2020066449477637,0.19635929782076542,0.3399192432583349,0.3600505664904991,0.349984904874417
9,"(2.0, 2.2)",0.5046895200449251,0.5345791719590671,0.5196343460019961,0.5678252710367652,0.6014540646321453,0.5846396678344552
10,"(2.2, 2.4)",1.033332901755473,1.094530845279547,1.06393187351751,0.9290686912363952,0.9840917077296075,0.9565801994830014
11,"(2.4, 2.6)",0.6664821222067906,0.7059537534742407,0.6862179378405157,0.7080833315640944,0.7500187462419599,0.7290510389030271
12,"(2.6, 2.8)",,,,,,
